ano_mes,trimestre,qtd,qtd_indicador,cat3_1,cat3_2,cat3_3,cat3_4,cat3_5,cat3_6,cat4_1,cat4_2,cat4_3,cat10_1
202501,01T25,11,8,B1,B2,B3,C4,C5,C6,D1,D2,D3,C8
202501,01T25,1193,862,C1,B2,A3,A4,C5,A6,C1,A2,A3,C4
202501,01T25,186,142,C1,A2,B3,B4,A5,A6,D1,B2,B3,C7
202501,01T25,343,265,C1,A2,A3,B4,A5,B6,B1,B2,B3,C5
202501,01T25,846,692,B1,A2,C3,A4,A5,C6,B1,D2,B3,C6
202501,01T25,245,190,B1,A2,A3,A4,B5,C6,A1,B2,A3,C2
202501,01T25,41,31,A1,B2,B3,A4,A5,A6,D1,D2,C3,C10
202501,01T25,116,96,B1,C2,A3,C4,B5,C6,C1,B2,B3,C4
202501,01T25,357,293,A1,B2,B3,C4,B5,B6,C1,D2,D3,C9
202501,01T25,614,503,A1,C2,A3,B4,A5,B6,B1,D2,D3,C5
202501,01T25,344,217,C1,B2,B3,C4,A5,C6,C1,A2,C3,C9
202501,01T25,24,18,C1,B2,C3,B4,A5,B6,B1,D2,D3,C3
202501,01T25,164,126,C1,C2,B3,B4,C5,A6,D1,B2,C3,C8
202501,01T25,129,98,B1,A2,C3,A4,A5,B6,D1,C2,A3,C7
202501,01T25,1,0,A1,C2,B3,A4,A5,B6,D1,B2,C3,C4
202501,01T25,14,10,C1,B2,A3,C4,B5,C6,B1,A2,C3,C4
202501,01T25,71,54,C1,B2,B3,A4,B5,A6,B1,C2,B3,C6
202501,01T25,456,335,A1,A2,C3,A4,A5,C6,C1,D2,A3,C3
202501,01T25,554,384,A1,C2,B3,B4,C5,A6,B1,A2,A3,C4
202501,01T25,756,597,C1,A2,C3,C4,B5,B6,D1,A2,B3,C3
202501,01T25,83,66,C1,B2,C3,B4,C5,C6,B1,A2,B3,C7
202501,01T25,393,295,B1,B2,C3,C4,B5,A6,C1,D2,D3,C9
202501,01T25,116,97,A1,B2,A3,B4,C5,B6,C1,C2,C3,C10
202501,01T25,136,93,C1,A2,C3,B4,A5,C6,C1,B2,B3,C7
202501,01T25,680,501,A1,C2,B3,C4,C5,A6,C1,D2,D3,C2
202501,01T25,58,44,A1,B2,A3,B4,C5,C6,D1,B2,B3,C3
202501,01T25,525,414,C1,A2,A3,C4,B5,B6,C1,B2,D3,C3
202501,01T25,31,24,A1,A2,B3,A4,A5,B6,B1,B2,B3,C9
202501,01T25,10,8,B1,C2,C3,C4,C5,C6,A1,B2,B3,C1
202501,01T25,118,83,A1,B2,C3,C4,A5,A6,A1,B2,D3,C7
202501,01T25,113,84,C1,C2,A3,B4,C5,B6,C1,D2,C3,C8
202501,01T25,314,245,B1,A2,A3,A4,B5,B6,D1,A2,C3,C7
202501,01T25,221,185,C1,B2,C3,C4,A5,A6,A1,D2,A3,C4
202501,01T25,356,270,A1,B2,A3,B4,B5,B6,A1,B2,B3,C9
202501,01T25,73,59,A1,C2,A3,C4,C5,B6,B1,A2,A3,C1
202501,01T25,627,416,B1,A2,C3,A4,B5,A6,B1,A2,D3,C3
202501,01T25,175,135,C1,C2,A3,A4,B5,A6,C1,A2,D3,C1
202501,01T25,12,9,A1,C2,B3,C4,A5,A6,A1,A2,C3,C10
202501,01T25,212,161,B1,B2,B3,C4,A5,A6,C1,B2,A3,C6
202501,01T25,240,196,B1,B2,A3,C4,A5,B6,D1,D2,D3,C2
202501,01T25,64,48,A1,A2,B3,A4,B5,A6,B1,A2,A3,C10
202501,01T25,87,63,A1,C2,C3,A4,A5,C6,C1,D2,C3,C5
202501,01T25,33,23,B1,B2,C3,C4,A5,A6,A1,D2,D3,C6
202501,01T25,44,35,C1,C2,B3,B4,A5,C6,A1,D2,C3,C4
202501,01T25,263,207,B1,A2,B3,B4,B5,C6,A1,D2,D3,C1
202501,01T25,298,215,C1,A2,C3,B4,C5,A6,B1,A2,D3,C6
202501,01T25,359,271,A1,C2,A3,C4,C5,B6,D1,C2,D3,C2
202501,01T25,1,0,A1,B2,C3,B4,C5,A6,C1,B2,A3,C9
202501,01T25,263,188,C1,A2,B3,A4,C5,B6,B1,C2,C3,C5
202501,01T25,1124,948,B1,A2,C3,C4,C5,B6,B1,A2,A3,C7
202501,01T25,81,63,A1,B2,B3,B4,A5,B6,C1,D2,B3,C3
202501,01T25,52,35,C1,A2,C3,C4,C5,B6,D1,A2,B3,C1
202501,01T25,122,88,A1,C2,B3,C4,B5,B6,B1,B2,D3,C9
202501,01T25,14,10,B1,B2,C3,C4,C5,A6,D1,A2,B3,C6
202501,01T25,107,82,B1,C2,B3,B4,A5,A6,C1,A2,A3,C10
202501,01T25,153,123,C1,A2,C3,B4,B5,A6,A1,A2,D3,C6
202501,01T25,51,38,C1,A2,C3,B4,C5,C6,D1,C2,B3,C8
202501,01T25,45,35,B1,B2,B3,B4,B5,B6,B1,A2,D3,C6
202501,01T25,252,194,B1,C2,C3,A4,C5,C6,B1,A2,B3,C5
202501,01T25,53,43,A1,B2,C3,A4,B5,C6,B1,B2,C3,C9
202501,01T25,202,160,C1,A2,C3,A4,A5,B6,A1,D2,C3,C2
202501,01T25,123,105,A1,B2,A3,B4,A5,B6,A1,A2,D3,C3
202501,01T25,984,771,C1,C2,A3,C4,B5,B6,D1,A2,D3,C4
202501,01T25,90,64,C1,B2,B3,B4,C5,A6,D1,A2,D3,C7
202501,01T25,24,17,C1,B2,C3,C4,C5,A6,B1,D2,B3,C1
202501,01T25,34,26,B1,A2,C3,B4,C5,C6,B1,A2,C3,C4
202501,01T25,513,374,B1,C2,B3,C4,C5,B6,A1,D2,C3,C6
202501,01T25,290,224,B1,A2,B3,A4,B5,C6,C1,A2,A3,C7
202501,01T25,4,3,A1,B2,B3,B4,C5,B6,D1,C2,C3,C8
202501,01T25,39,27,C1,B2,A3,B4,C5,C6,D1,B2,C3,C6
202501,01T25,376,287,C1,A2,A3,B4,C5,B6,B1,A2,C3,C7
202501,01T25,94,78,B1,A2,A3,B4,A5,B6,D1,C2,C3,C9
202501,01T25,534,366,A1,A2,B3,A4,C5,C6,C1,A2,A3,C9
202501,01T25,385,310,C1,C2,C3,C4,A5,A6,D1,C2,D3,C7
202501,01T25,81,65,B1,C2,C3,B4,A5,A6,A1,D2,D3,C8
202501,01T25,323,280,B1,A2,B3,A4,C5,C6,B1,C2,B3,C9
202501,01T25,145,110,A1,C2,A3,B4,A5,C6,C1,C2,B3,C2
202501,01T25,1793,1348,A1,B2,A3,B4,A5,A6,B1,B2,C3,C7
202501,01T25,75,53,B1,A2,C3,C4,B5,A6,D1,D2,D3,C10
202501,01T25,137,108,B1,A2,B3,B4,B5,B6,C1,B2,D3,C2
202501,01T25,8,6,A1,A2,C3,A4,A5,B6,D1,A2,A3,C9
202501,01T25,165,122,B1,C2,C3,B4,A5,A6,B1,B2,B3,C4
202501,01T25,76,58,C1,B2,A3,C4,C5,C6,B1,C2,B3,C9
202501,01T25,670,496,B1,B2,B3,A4,A5,A6,B1,D2,B3,C1
202501,01T25,16,12,A1,A2,A3,B4,A5,A6,B1,A2,D3,C10
202501,01T25,18,13,A1,B2,B3,A4,C5,B6,A1,B2,C3,C9
202501,01T25,54,44,B1,C2,B3,A4,C5,B6,D1,B2,C3,C7
202501,01T25,155,106,C1,A2,B3,A4,A5,B6,C1,D2,C3,C7
202501,01T25,922,636,B1,B2,C3,B4,C5,B6,B1,C2,A3,C2
202501,01T25,54,40,A1,C2,A3,A4,B5,B6,C1,B2,A3,C9
202501,01T25,300,227,B1,B2,C3,B4,C5,A6,B1,D2,B3,C4
202501,01T25,129,98,B1,B2,B3,C4,C5,C6,D1,B2,D3,C5
202501,01T25,318,244,A1,A2,C3,A4,A5,A6,A1,C2,B3,C10
202501,01T25,488,388,C1,A2,B3,A4,A5,B6,A1,A2,C3,C7
202501,01T25,483,345,B1,B2,B3,C4,A5,B6,C1,A2,B3,C2
202501,01T25,127,102,A1,B2,B3,A4,A5,C6,B1,C2,D3,C6
202501,01T25,202,162,A1,C2,A3,C4,A5,A6,B1,C2,B3,C6
202501,01T25,234,187,C1,B2,B3,C4,C5,B6,D1,C2,A3,C6
202501,01T25,91,75,B1,C2,C3,A4,A5,C6,C1,C2,A3,C4
202501,01T25,261,213,C1,C2,C3,B4,A5,C6,C1,B2,B3,C2
202501,01T25,295,222,A1,A2,B3,B4,C5,C6,A1,C2,C3,C6
202501,01T25,72,57,C1,C2,A3,A4,A5,B6,A1,C2,A3,C5
202501,01T25,91,74,C1,B2,C3,C4,A5,B6,A1,C2,C3,C4
202501,01T25,316,273,B1,C2,A3,C4,B5,A6,A1,B2,B3,C4
202501,01T25,129,93,B1,B2,C3,C4,B5,B6,B1,C2,C3,C5
202501,01T25,114,88,A1,B2,C3,C4,B5,C6,B1,D2,B3,C2
202501,01T25,19,15,A1,A2,C3,A4,C5,A6,B1,D2,B3,C10
202501,01T25,253,203,B1,B2,C3,A4,A5,C6,A1,C2,A3,C10
202501,01T25,719,578,C1,B2,A3,C4,A5,A6,B1,D2,D3,C5
202501,01T25,751,532,A1,B2,B3,A4,B5,B6,A1,A2,B3,C7
202501,01T25,30,21,B1,A2,C3,B4,C5,B6,B1,D2,D3,C5
202501,01T25,135,96,C1,A2,A3,A4,C5,A6,B1,A2,B3,C3
202501,01T25,26,20,A1,C2,B3,B4,A5,C6,D1,B2,C3,C2
202501,01T25,465,346,A1,B2,A3,B4,C5,C6,A1,C2,C3,C2
202501,01T25,62,42,C1,C2,A3,A4,A5,A6,A1,B2,B3,C1
202501,01T25,56,48,C1,B2,B3,C4,B5,A6,B1,B2,B3,C5
202501,01T25,69,50,B1,C2,C3,A4,A5,A6,D1,D2,C3,C10
202501,01T25,155,116,C1,A2,A3,A4,A5,B6,D1,C2,C3,C7
202501,01T25,574,401,B1,C2,A3,B4,B5,A6,A1,A2,B3,C9
202501,01T25,21,14,B1,C2,C3,B4,A5,B6,A1,D2,B3,C6
202501,01T25,112,79,C1,A2,A3,A4,C5,C6,B1,A2,B3,C2
202501,01T25,326,258,A1,C2,A3,A4,C5,B6,C1,C2,D3,C9
202501,01T25,271,213,C1,B2,B3,C4,C5,C6,A1,B2,C3,C7
202501,01T25,115,94,A1,B2,B3,A4,A5,A6,C1,B2,D3,C9
202501,01T25,80,59,A1,B2,B3,B4,B5,A6,C1,B2,D3,C6
202501,01T25,27,21,A1,B2,A3,B4,B5,B6,D1,B2,D3,C6
202501,01T25,377,282,A1,C2,C3,A4,B5,A6,D1,B2,A3,C4
202501,01T25,457,318,B1,A2,B3,A4,B5,C6,C1,A2,D3,C5
202501,01T25,214,146,A1,B2,A3,C4,B5,B6,A1,C2,D3,C1
202501,01T25,143,106,B1,B2,B3,B4,C5,B6,D1,A2,C3,C1
202501,01T25,320,261,A1,C2,A3,B4,C5,C6,A1,D2,B3,C3
202501,01T25,492,350,A1,B2,B3,C4,B5,A6,A1,D2,B3,C5
202501,01T25,112,89,C1,A2,C3,B4,A5,C6,D1,A2,A3,C5
202501,01T25,178,125,C1,B2,C3,B4,C5,C6,A1,A2,C3,C4
202501,01T25,0,0,A1,C2,B3,B4,B5,B6,C1,A2,A3,C5
202501,01T25,111,87,A1,B2,A3,A4,A5,C6,A1,B2,A3,C2
202501,01T25,646,465,A1,C2,C3,C4,B5,A6,C1,C2,C3,C10
202501,01T25,12,8,A1,C2,A3,A4,C5,C6,D1,C2,B3,C3
202501,01T25,87,66,A1,B2,B3,C4,B5,A6,D1,A2,B3,C4
202501,01T25,278,197,A1,C2,C3,C4,A5,C6,C1,D2,D3,C5
202501,01T25,18,13,C1,B2,B3,C4,B5,A6,D1,D2,C3,C5
202501,01T25,48,36,A1,C2,C3,B4,A5,C6,A1,D2,C3,C7
202501,01T25,57,45,C1,C2,C3,B4,C5,A6,C1,D2,C3,C6
202501,01T25,558,459,C1,A2,A3,A4,A5,B6,D1,B2,A3,C1
202501,01T25,174,124,A1,C2,B3,A4,B5,A6,C1,C2,A3,C6
202501,01T25,66,52,C1,C2,C3,B4,A5,B6,D1,B2,B3,C4
202501,01T25,386,268,C1,B2,A3,C4,C5,C6,A1,D2,A3,C9
202501,01T25,304,240,B1,B2,B3,A4,B5,C6,C1,C2,B3,C3
202502,01T25,189,145,A1,C2,B3,A4,B5,A6,D1,D2,A3,C9
202502,01T25,250,207,A1,C2,B3,B4,C5,B6,B1,C2,D3,C10
202502,01T25,788,530,C1,A2,C3,A4,A5,A6,C1,A2,D3,C2
202502,01T25,49,35,B1,C2,A3,B4,B5,A6,C1,A2,C3,C5
202502,01T25,69,58,B1,A2,A3,B4,A5,C6,B1,A2,C3,C8
202502,01T25,737,621,B1,B2,C3,B4,A5,C6,C1,A2,B3,C3
202502,01T25,110,71,B1,A2,A3,A4,B5,C6,B1,C2,A3,C1
202502,01T25,189,146,A1,B2,A3,A4,A5,B6,B1,C2,C3,C6
202502,01T25,584,470,A1,C2,B3,A4,C5,A6,C1,B2,B3,C3
202502,01T25,286,210,A1,B2,A3,A4,C5,B6,C1,B2,C3,C6
202502,01T25,356,245,C1,A2,B3,B4,B5,B6,A1,B2,A3,C9
202502,01T25,22,17,C1,B2,B3,C4,B5,B6,B1,B2,A3,C1
202502,01T25,228,176,B1,B2,B3,B4,C5,C6,C1,D2,B3,C5
202502,01T25,143,111,B1,C2,A3,A4,B5,C6,C1,D2,C3,C2
202502,01T25,73,52,A1,C2,B3,A4,B5,B6,A1,B2,A3,C5
202502,01T25,90,78,C1,A2,B3,A4,A5,B6,C1,B2,C3,C3
202502,01T25,107,84,B1,B2,B3,B4,C5,C6,B1,B2,A3,C9
202502,01T25,216,176,A1,A2,A3,B4,C5,B6,C1,D2,D3,C3
202502,01T25,26,19,B1,A2,A3,B4,A5,C6,B1,C2,A3,C6
202502,01T25,548,436,A1,B2,C3,C4,A5,C6,C1,C2,A3,C6
202502,01T25,181,132,B1,B2,A3,B4,C5,B6,D1,C2,B3,C1
202502,01T25,106,80,B1,B2,A3,B4,B5,C6,B1,D2,B3,C6
202502,01T25,133,111,B1,C2,A3,B4,B5,A6,C1,C2,B3,C9
202502,01T25,485,407,C1,B2,C3,B4,B5,A6,C1,C2,C3,C1
202502,01T25,855,658,B1,A2,A3,C4,B5,B6,B1,C2,A3,C3
202502,01T25,236,181,A1,A2,B3,A4,C5,C6,C1,D2,A3,C7
202502,01T25,239,184,B1,A2,B3,B4,A5,B6,A1,D2,A3,C9
202502,01T25,373,295,B1,A2,A3,A4,C5,A6,A1,B2,B3,C3
202502,01T25,66,47,C1,C2,C3,C4,A5,A6,A1,B2,A3,C9
202502,01T25,237,179,C1,B2,C3,B4,B5,B6,B1,D2,B3,C5
202502,01T25,689,561,A1,B2,A3,C4,C5,B6,D1,D2,A3,C8
202502,01T25,4,3,A1,B2,A3,C4,A5,A6,A1,B2,B3,C1
202502,01T25,108,79,C1,A2,C3,B4,C5,A6,B1,C2,C3,C1
202502,01T25,243,175,C1,C2,A3,B4,C5,A6,B1,C2,D3,C2
202502,01T25,46,33,A1,C2,C3,B4,C5,A6,A1,B2,C3,C8
202502,01T25,36,22,A1,B2,C3,B4,B5,A6,A1,A2,D3,C5
202502,01T25,17,12,B1,B2,C3,A4,C5,B6,B1,D2,D3,C3
202502,01T25,198,128,A1,C2,A3,A4,C5,C6,B1,A2,C3,C8
202502,01T25,168,122,C1,C2,B3,C4,A5,A6,C1,B2,D3,C6
202502,01T25,2,1,A1,B2,A3,C4,A5,C6,D1,A2,C3,C7
202502,01T25,122,83,C1,B2,B3,C4,A5,C6,B1,A2,C3,C2
202502,01T25,5,4,A1,C2,C3,B4,C5,B6,B1,B2,B3,C8
202502,01T25,477,358,A1,A2,B3,A4,C5,C6,A1,C2,C3,C10
202502,01T25,161,122,B1,B2,A3,C4,C5,C6,C1,A2,C3,C9
202502,01T25,20,15,C1,C2,B3,A4,A5,C6,A1,B2,B3,C4
202502,01T25,32,23,B1,A2,C3,B4,A5,A6,A1,C2,A3,C6
202502,01T25,376,292,B1,C2,C3,A4,A5,C6,D1,A2,D3,C2
202502,01T25,109,85,A1,A2,A3,A4,C5,B6,D1,C2,D3,C5
202502,01T25,487,355,C1,C2,B3,A4,C5,B6,A1,B2,C3,C4
202502,01T25,44,33,A1,A2,C3,C4,B5,B6,B1,B2,C3,C4
202502,01T25,159,125,C1,B2,B3,B4,A5,A6,C1,D2,C3,C5
202502,01T25,228,183,C1,A2,C3,C4,C5,B6,D1,D2,A3,C3
202502,01T25,174,132,B1,A2,B3,A4,A5,B6,A1,C2,A3,C4
202502,01T25,106,74,A1,B2,A3,A4,B5,C6,B1,C2,C3,C2
202502,01T25,224,187,B1,C2,B3,C4,B5,C6,B1,B2,B3,C6
202502,01T25,497,391,C1,C2,C3,B4,C5,A6,A1,C2,A3,C5
202502,01T25,130,105,A1,A2,B3,C4,C5,C6,A1,D2,D3,C1
202502,01T25,64,47,B1,B2,B3,B4,B5,A6,A1,A2,D3,C9
202502,01T25,1009,747,C1,B2,B3,C4,B5,C6,D1,B2,C3,C4
202502,01T25,178,129,B1,B2,A3,B4,B5,C6,C1,C2,C3,C7
202502,01T25,320,227,A1,C2,C3,B4,B5,B6,A1,A2,C3,C3
202502,01T25,193,127,B1,C2,B3,C4,B5,B6,B1,A2,B3,C2
202502,01T25,29,19,B1,A2,B3,B4,C5,A6,A1,C2,D3,C8
202502,01T25,172,125,A1,C2,A3,C4,C5,C6,C1,D2,C3,C9
202502,01T25,103,79,B1,A2,B3,C4,A5,A6,A1,A2,B3,C9
202502,01T25,103,79,A1,C2,B3,A4,C5,C6,A1,A2,A3,C7
202502,01T25,208,156,B1,B2,C3,C4,B5,C6,D1,B2,D3,C6
202502,01T25,489,374,A1,C2,C3,C4,B5,C6,D1,A2,B3,C3
202502,01T25,134,95,B1,B2,C3,A4,A5,B6,A1,C2,A3,C3
202502,01T25,213,151,B1,A2,A3,B4,A5,C6,A1,C2,C3,C5
202502,01T25,339,248,C1,A2,C3,A4,C5,A6,B1,C2,B3,C5
202502,01T25,134,94,A1,A2,A3,B4,A5,C6,B1,C2,C3,C4
202502,01T25,173,137,C1,C2,B3,A4,B5,B6,D1,C2,B3,C10
202502,01T25,624,530,A1,A2,C3,A4,A5,B6,D1,C2,B3,C7
202502,01T25,272,204,A1,C2,B3,C4,A5,C6,D1,D2,A3,C9
202502,01T25,903,690,A1,A2,C3,C4,B5,C6,B1,B2,B3,C6
202502,01T25,14,10,C1,B2,A3,C4,A5,A6,D1,D2,B3,C3
202502,01T25,34,25,A1,A2,B3,C4,C5,B6,D1,D2,A3,C6
202502,01T25,678,488,A1,A2,B3,C4,A5,C6,B1,B2,C3,C1
202502,01T25,40,31,A1,B2,C3,A4,B5,C6,C1,A2,B3,C4
202502,01T25,266,204,C1,A2,B3,B4,C5,B6,B1,D2,C3,C10
202502,01T25,24,18,A1,A2,C3,C4,A5,B6,B1,A2,A3,C2
202502,01T25,85,61,B1,B2,C3,A4,B5,C6,D1,A2,A3,C8
202502,01T25,50,37,B1,B2,A3,A4,C5,A6,C1,D2,C3,C9
202502,01T25,103,85,B1,C2,A3,B4,A5,B6,D1,D2,D3,C2
202502,01T25,482,357,A1,A2,B3,C4,B5,C6,A1,D2,D3,C7
202502,01T25,351,247,C1,C2,C3,B4,A5,B6,A1,D2,D3,C8
202502,01T25,30,23,B1,C2,A3,A4,C5,B6,A1,C2,A3,C4
202502,01T25,741,479,B1,C2,A3,A4,B5,A6,C1,C2,C3,C4
202502,01T25,447,328,B1,B2,C3,C4,A5,B6,C1,B2,C3,C2
202502,01T25,312,217,A1,C2,A3,A4,B5,C6,A1,A2,B3,C6
202502,01T25,3,2,B1,B2,C3,B4,C5,A6,C1,C2,D3,C1
202502,01T25,349,254,A1,B2,A3,C4,C5,C6,C1,B2,B3,C3
202502,01T25,67,49,C1,B2,A3,B4,B5,B6,A1,C2,C3,C8
202502,01T25,354,276,B1,B2,B3,B4,C5,C6,C1,D2,A3,C2
202502,01T25,335,275,C1,A2,C3,C4,A5,A6,D1,B2,A3,C3
202502,01T25,368,287,C1,B2,A3,B4,C5,B6,C1,D2,B3,C1
202502,01T25,534,395,C1,B2,C3,A4,B5,B6,B1,A2,A3,C4
202502,01T25,415,298,A1,B2,A3,C4,A5,B6,B1,C2,A3,C5
202502,01T25,201,152,C1,C2,C3,A4,B5,A6,B1,B2,A3,C9
202502,01T25,298,228,B1,B2,B3,B4,B5,A6,C1,C2,A3,C10
202502,01T25,302,217,B1,B2,C3,A4,C5,C6,B1,C2,C3,C9
202502,01T25,26,19,C1,A2,A3,B4,B5,A6,C1,C2,A3,C10
202502,01T25,478,385,A1,C2,A3,C4,C5,A6,A1,B2,D3,C8
202502,01T25,69,53,C1,A2,C3,C4,C5,B6,B1,D2,A3,C9
202502,01T25,280,215,A1,B2,C3,C4,C5,A6,A1,A2,D3,C4
202502,01T25,241,157,C1,C2,A3,C4,A5,A6,C1,D2,B3,C7
202502,01T25,137,101,B1,C2,B3,B4,B5,B6,A1,A2,B3,C9
202502,01T25,857,795,C1,B2,C3,A4,A5,A6,A1,C2,C3,C6
202502,01T25,47,37,A1,B2,B3,C4,A5,C6,C1,A2,A3,C9
202502,01T25,236,178,C1,C2,A3,B4,A5,C6,D1,B2,B3,C5
202502,01T25,301,211,C1,A2,A3,C4,A5,B6,C1,C2,A3,C8
202502,01T25,62,42,A1,C2,A3,B4,A5,A6,B1,B2,B3,C1
202502,01T25,422,315,C1,A2,C3,C4,C5,A6,C1,B2,D3,C3
202502,01T25,413,338,C1,B2,A3,B4,C5,C6,B1,C2,B3,C8
202502,01T25,128,92,B1,B2,C3,B4,B5,B6,B1,B2,D3,C4
202502,01T25,235,183,C1,C2,A3,C4,A5,A6,B1,C2,A3,C7
202502,01T25,14,10,B1,B2,C3,B4,C5,C6,B1,D2,A3,C1
202502,01T25,15,12,C1,B2,A3,C4,C5,A6,D1,B2,D3,C2
202502,01T25,44,34,A1,C2,A3,C4,B5,C6,A1,B2,B3,C9
202502,01T25,60,48,B1,B2,C3,C4,A5,A6,D1,A2,B3,C10
202502,01T25,379,307,A1,A2,C3,A4,C5,B6,D1,A2,B3,C3
202502,01T25,33,24,A1,B2,B3,C4,C5,B6,C1,A2,C3,C10
202502,01T25,104,76,C1,C2,A3,A4,B5,B6,D1,B2,C3,C3
202502,01T25,188,142,A1,B2,C3,B4,C5,B6,C1,D2,B3,C4
202502,01T25,92,77,C1,A2,C3,C4,C5,A6,D1,A2,A3,C9
202502,01T25,814,630,A1,C2,C3,A4,A5,B6,D1,B2,A3,C5
202502,01T25,235,166,C1,B2,C3,C4,C5,B6,A1,D2,B3,C10
202502,01T25,245,184,B1,C2,C3,B4,A5,A6,C1,C2,C3,C4
202502,01T25,6,4,B1,C2,C3,C4,B5,B6,B1,C2,A3,C4
202502,01T25,171,138,C1,A2,C3,A4,A5,C6,D1,C2,B3,C2
202502,01T25,26,19,A1,B2,C3,C4,B5,A6,D1,A2,D3,C1
202502,01T25,416,316,A1,C2,A3,A4,B5,B6,D1,D2,D3,C6
202502,01T25,72,53,C1,C2,C3,A4,B5,A6,C1,C2,D3,C6
202502,01T25,137,119,A1,A2,C3,A4,C5,A6,B1,C2,D3,C4
202502,01T25,42,32,C1,C2,A3,B4,A5,C6,D1,B2,A3,C6
202502,01T25,198,154,B1,A2,B3,C4,C5,B6,B1,D2,C3,C4
