ano_mes,trimestre,qtd,qtd_atvc_cont,cat3_1,cat3_2,cat3_3,cat3_4,cat3_5,cat3_6,cat4_1,cat4_2,cat4_3,cat10_1
202501,01T25,143,108,C1,B2,B3,B4,A5,B6,A1,D2,A3,C3
202501,01T25,204,155,A1,B2,A3,C4,B5,A6,B1,D2,D3,C4
202501,01T25,94,71,B1,C2,B3,C4,C5,A6,B1,C2,A3,C5
202501,01T25,253,192,A1,C2,A3,C4,A5,C6,D1,C2,D3,C7
202501,01T25,257,195,A1,B2,A3,A4,B5,B6,C1,A2,A3,C7
202501,01T25,12,9,C1,A2,C3,C4,A5,A6,D1,D2,A3,C9
202501,01T25,358,272,C1,A2,C3,A4,B5,B6,B1,C2,A3,C10
202501,01T25,478,363,C1,B2,C3,B4,C5,B6,A1,B2,A3,C8
202501,01T25,598,454,B1,A2,C3,A4,C5,C6,C1,C2,C3,C1
202501,01T25,479,364,C1,B2,C3,C4,A5,B6,C1,D2,D3,C8
202501,01T25,260,197,B1,A2,C3,B4,C5,A6,A1,A2,A3,C4
202501,01T25,29,22,B1,B2,C3,C4,C5,A6,B1,C2,C3,C6
202501,01T25,285,216,B1,B2,A3,A4,B5,C6,D1,B2,D3,C7
202501,01T25,53,40,A1,A2,A3,B4,C5,B6,A1,B2,A3,C9
202501,01T25,157,119,B1,B2,C3,B4,A5,A6,B1,D2,A3,C7
202501,01T25,323,245,A1,A2,C3,B4,C5,A6,B1,A2,D3,C5
202501,01T25,165,125,B1,C2,B3,B4,A5,A6,D1,D2,B3,C5
202501,01T25,320,243,A1,C2,B3,A4,C5,C6,D1,B2,C3,C1
202501,01T25,387,294,C1,A2,A3,A4,B5,C6,B1,B2,A3,C2
202501,01T25,962,731,B1,B2,A3,A4,C5,B6,A1,B2,D3,C4
202501,01T25,114,86,A1,C2,A3,A4,A5,B6,D1,B2,A3,C2
202501,01T25,1040,790,B1,B2,C3,B4,C5,A6,D1,A2,B3,C9
202501,01T25,49,37,A1,B2,C3,B4,B5,A6,A1,B2,A3,C9
202501,01T25,204,155,B1,B2,B3,C4,A5,A6,D1,B2,A3,C7
202501,01T25,36,27,A1,C2,C3,A4,B5,C6,A1,D2,B3,C6
202501,01T25,1030,782,C1,B2,C3,B4,A5,C6,D1,C2,C3,C4
202501,01T25,365,277,B1,A2,C3,B4,B5,C6,C1,B2,B3,C4
202501,01T25,17,12,B1,B2,C3,A4,B5,B6,C1,B2,B3,C2
202501,01T25,75,57,C1,A2,B3,A4,A5,A6,C1,B2,B3,C7
202501,01T25,280,212,B1,B2,B3,B4,C5,C6,B1,B2,B3,C3
202501,01T25,350,266,B1,B2,A3,B4,A5,B6,A1,B2,B3,C2
202501,01T25,149,113,B1,A2,A3,A4,A5,B6,B1,B2,C3,C8
202501,01T25,607,461,B1,C2,B3,C4,C5,C6,B1,A2,B3,C7
202501,01T25,490,372,B1,A2,A3,A4,C5,C6,B1,A2,D3,C8
202501,01T25,377,286,B1,C2,B3,A4,C5,A6,C1,B2,D3,C10
202501,01T25,602,457,B1,A2,C3,C4,A5,C6,C1,D2,C3,C6
202501,01T25,31,23,A1,B2,A3,B4,A5,B6,B1,D2,A3,C1
202501,01T25,162,123,A1,C2,A3,B4,A5,C6,C1,C2,B3,C1
202501,01T25,89,67,A1,A2,C3,A4,C5,C6,C1,B2,D3,C9
202501,01T25,230,174,B1,A2,C3,B4,C5,C6,D1,B2,B3,C5
202501,01T25,663,503,C1,A2,A3,C4,A5,B6,A1,C2,C3,C7
202501,01T25,100,76,A1,C2,A3,C4,C5,A6,D1,C2,B3,C4
202501,01T25,1077,818,C1,A2,B3,A4,A5,C6,A1,A2,D3,C4
202501,01T25,111,84,B1,A2,A3,A4,A5,C6,A1,B2,A3,C9
202501,01T25,77,58,A1,B2,B3,B4,A5,C6,A1,D2,B3,C4
202501,01T25,221,167,C1,B2,C3,A4,A5,A6,A1,B2,B3,C8
202501,01T25,215,163,B1,C2,B3,A4,A5,C6,B1,B2,B3,C2
202501,01T25,49,37,B1,A2,A3,C4,A5,A6,A1,A2,D3,C5
202501,01T25,56,42,B1,A2,B3,A4,B5,B6,C1,B2,D3,C5
202501,01T25,52,39,A1,C2,A3,A4,A5,A6,A1,C2,C3,C9
202501,01T25,3,2,C1,A2,C3,C4,A5,C6,B1,A2,D3,C5
202501,01T25,98,74,C1,B2,C3,A4,A5,B6,D1,B2,D3,C5
202501,01T25,14,10,A1,C2,A3,C4,B5,C6,B1,C2,C3,C1
202501,01T25,995,756,C1,B2,C3,A4,B5,A6,A1,B2,A3,C7
202501,01T25,577,438,A1,A2,B3,A4,C5,A6,D1,D2,A3,C6
202501,01T25,539,409,C1,C2,C3,B4,A5,C6,C1,C2,B3,C10
202501,01T25,1048,796,B1,B2,A3,A4,C5,C6,B1,A2,B3,C5
202501,01T25,21,15,A1,A2,A3,A4,A5,C6,A1,A2,C3,C10
202501,01T25,97,73,C1,B2,C3,B4,C5,C6,D1,C2,D3,C2
202501,01T25,1203,914,B1,C2,B3,C4,A5,C6,D1,B2,D3,C6
202501,01T25,153,116,C1,C2,B3,B4,B5,C6,D1,A2,D3,C4
202501,01T25,178,135,A1,B2,B3,B4,B5,B6,A1,A2,C3,C7
202501,01T25,55,41,A1,A2,B3,B4,B5,C6,B1,D2,C3,C9
202501,01T25,314,238,B1,C2,C3,B4,B5,C6,D1,A2,B3,C6
202501,01T25,121,91,C1,C2,A3,B4,A5,B6,A1,B2,C3,C9
202501,01T25,185,140,C1,C2,C3,A4,A5,A6,B1,D2,D3,C7
202501,01T25,24,18,C1,B2,C3,A4,C5,B6,C1,D2,A3,C2
202501,01T25,27,20,B1,A2,C3,A4,C5,C6,A1,C2,D3,C5
202501,01T25,693,526,B1,C2,A3,C4,C5,A6,A1,D2,C3,C1
202501,01T25,233,177,C1,A2,C3,B4,C5,A6,B1,D2,D3,C8
202501,01T25,258,196,A1,C2,C3,C4,C5,B6,D1,D2,D3,C1
202501,01T25,154,117,A1,B2,B3,C4,C5,B6,A1,D2,C3,C7
202501,01T25,306,232,A1,C2,B3,C4,A5,A6,D1,B2,C3,C3
202501,01T25,296,224,A1,A2,B3,C4,B5,A6,A1,C2,B3,C3
202501,01T25,18,13,A1,A2,A3,B4,C5,B6,A1,A2,B3,C7
202501,01T25,318,241,C1,B2,A3,A4,C5,C6,C1,D2,A3,C4
202501,01T25,428,325,A1,B2,B3,A4,C5,B6,C1,D2,B3,C7
202501,01T25,186,141,C1,A2,B3,C4,A5,A6,D1,A2,B3,C4
202501,01T25,80,60,A1,B2,C3,C4,B5,A6,B1,C2,A3,C7
202501,01T25,42,31,C1,A2,B3,C4,A5,A6,C1,B2,C3,C4
202501,01T25,451,342,B1,C2,C3,C4,B5,C6,D1,B2,A3,C4
202501,01T25,285,216,A1,B2,A3,B4,B5,A6,B1,C2,D3,C9
202501,01T25,1,0,A1,A2,B3,B4,A5,A6,D1,B2,A3,C8
202501,01T25,12,9,B1,B2,B3,C4,B5,A6,A1,D2,C3,C3
202501,01T25,6,4,C1,C2,B3,B4,C5,C6,C1,C2,D3,C1
202501,01T25,111,84,B1,A2,C3,C4,C5,A6,C1,D2,A3,C3
202501,01T25,392,297,B1,A2,A3,C4,A5,C6,C1,A2,B3,C6
202501,01T25,452,343,C1,B2,C3,C4,A5,A6,B1,D2,D3,C7
202501,01T25,168,127,B1,A2,B3,C4,B5,C6,A1,C2,A3,C8
202501,01T25,230,174,A1,A2,C3,C4,C5,B6,C1,A2,C3,C3
202501,01T25,442,335,B1,A2,A3,C4,B5,C6,B1,A2,B3,C9
202501,01T25,936,711,B1,A2,B3,C4,C5,C6,D1,C2,A3,C6
202501,01T25,96,72,A1,B2,B3,A4,B5,B6,C1,C2,D3,C1
202501,01T25,10,7,C1,B2,C3,A4,C5,C6,A1,C2,D3,C9
202501,01T25,123,93,A1,B2,B3,B4,A5,B6,D1,C2,A3,C1
202501,01T25,104,79,C1,B2,A3,B4,A5,C6,D1,D2,A3,C9
202501,01T25,212,161,B1,C2,B3,C4,C5,C6,B1,B2,C3,C7
202501,01T25,186,141,C1,A2,A3,A4,A5,B6,C1,D2,B3,C4
202501,01T25,321,243,B1,B2,B3,C4,B5,C6,D1,A2,A3,C7
202501,01T25,705,535,B1,A2,B3,A4,B5,A6,C1,A2,C3,C6
202501,01T25,630,478,B1,C2,C3,A4,B5,C6,B1,A2,A3,C3
202501,01T25,13,9,C1,A2,B3,B4,B5,B6,D1,B2,D3,C5
202501,01T25,56,42,B1,B2,B3,B4,C5,A6,D1,D2,D3,C6
202501,01T25,105,79,C1,A2,A3,C4,B5,A6,C1,C2,C3,C8
202501,01T25,117,88,A1,B2,B3,A4,A5,A6,C1,D2,C3,C5
202501,01T25,2,1,B1,C2,C3,C4,C5,C6,B1,A2,D3,C8
202501,01T25,493,374,A1,B2,B3,A4,C5,C6,D1,D2,A3,C7
202501,01T25,136,103,B1,A2,C3,C4,B5,C6,A1,B2,A3,C7
202501,01T25,491,373,C1,A2,B3,B4,B5,C6,A1,D2,C3,C5
202501,01T25,165,125,C1,A2,B3,B4,A5,C6,C1,C2,B3,C6
202501,01T25,264,200,B1,A2,C3,C4,B5,A6,B1,B2,C3,C1
202501,01T25,295,224,C1,A2,B3,B4,C5,A6,D1,D2,A3,C9
202501,01T25,201,152,B1,C2,C3,C4,B5,C6,B1,D2,C3,C6
202501,01T25,807,613,B1,B2,A3,A4,C5,A6,B1,B2,D3,C6
202501,01T25,94,71,B1,C2,A3,C4,A5,C6,A1,A2,C3,C2
202501,01T25,272,206,B1,B2,C3,A4,A5,C6,D1,C2,C3,C7
202501,01T25,464,352,B1,B2,B3,A4,A5,C6,C1,B2,B3,C8
202501,01T25,161,122,B1,A2,A3,B4,C5,A6,D1,D2,A3,C2
202501,01T25,28,21,C1,C2,B3,B4,A5,A6,A1,C2,B3,C1
202501,01T25,249,189,C1,C2,A3,B4,B5,A6,C1,D2,C3,C6
202501,01T25,11,8,B1,B2,B3,C4,A5,C6,B1,B2,C3,C4
202501,01T25,339,257,A1,C2,B3,B4,A5,C6,C1,D2,A3,C9
202501,01T25,158,120,A1,A2,C3,A4,C5,C6,C1,B2,B3,C8
202501,01T25,133,101,B1,C2,A3,A4,C5,A6,A1,B2,D3,C3
202501,01T25,773,587,A1,C2,A3,C4,A5,A6,C1,D2,D3,C5
202502,01T25,131,99,C1,C2,C3,A4,B5,A6,B1,D2,C3,C1
202502,01T25,364,276,B1,B2,A3,B4,A5,B6,D1,A2,D3,C5
202502,01T25,120,91,C1,A2,B3,C4,B5,A6,A1,D2,A3,C1
202502,01T25,21,15,B1,C2,A3,C4,A5,A6,D1,C2,A3,C8
202502,01T25,437,332,A1,C2,A3,B4,B5,C6,B1,B2,D3,C1
202502,01T25,402,305,C1,B2,A3,C4,C5,A6,B1,D2,A3,C8
202502,01T25,247,187,C1,B2,C3,B4,C5,A6,B1,C2,C3,C4
202502,01T25,159,120,C1,A2,B3,A4,C5,A6,C1,D2,B3,C2
202502,01T25,122,92,B1,C2,B3,A4,C5,A6,C1,B2,A3,C2
202502,01T25,249,189,A1,C2,A3,B4,B5,C6,C1,C2,B3,C7
202502,01T25,88,66,A1,A2,A3,B4,C5,C6,B1,B2,A3,C8
202502,01T25,21,15,C1,B2,A3,C4,B5,C6,D1,C2,B3,C1
202502,01T25,54,41,A1,C2,B3,B4,C5,B6,C1,C2,D3,C5
202502,01T25,87,66,B1,A2,B3,B4,A5,A6,B1,B2,B3,C6
202502,01T25,186,141,B1,B2,A3,C4,B5,A6,B1,D2,A3,C8
202502,01T25,35,26,C1,A2,A3,B4,B5,B6,D1,D2,A3,C10
202502,01T25,236,179,B1,A2,A3,B4,A5,B6,C1,B2,C3,C10
202502,01T25,19,14,B1,B2,C3,B4,C5,B6,D1,D2,A3,C6
202502,01T25,98,74,C1,A2,C3,B4,C5,A6,C1,B2,B3,C3
202502,01T25,678,515,C1,B2,A3,B4,B5,A6,B1,B2,B3,C1
202502,01T25,213,161,B1,A2,C3,B4,A5,B6,A1,D2,B3,C1
202502,01T25,605,459,B1,B2,C3,C4,A5,C6,B1,B2,D3,C4
202502,01T25,82,62,A1,A2,B3,A4,B5,B6,B1,D2,A3,C3
202502,01T25,275,209,A1,A2,A3,A4,A5,A6,C1,C2,D3,C2
202502,01T25,2,1,B1,B2,B3,C4,A5,C6,A1,D2,B3,C10
202502,01T25,188,142,A1,C2,B3,B4,A5,B6,C1,B2,B3,C7
202502,01T25,378,287,C1,B2,B3,C4,B5,C6,A1,A2,D3,C5
202502,01T25,754,573,C1,B2,B3,B4,A5,B6,B1,A2,A3,C4
202502,01T25,26,19,C1,A2,B3,B4,A5,B6,D1,C2,B3,C2
202502,01T25,9,6,C1,B2,A3,C4,A5,A6,C1,C2,B3,C1
202502,01T25,77,58,A1,B2,B3,C4,A5,C6,A1,A2,B3,C3
202502,01T25,166,126,B1,A2,A3,A4,A5,C6,A1,D2,C3,C7
202502,01T25,174,132,C1,A2,B3,C4,C5,B6,A1,C2,B3,C3
202502,01T25,83,63,A1,C2,A3,C4,A5,A6,D1,A2,D3,C9
202502,01T25,62,47,B1,B2,C3,A4,C5,B6,B1,B2,C3,C2
202502,01T25,45,34,B1,C2,C3,A4,C5,B6,B1,D2,C3,C1
202502,01T25,39,29,A1,A2,A3,B4,A5,B6,C1,D2,D3,C8
202502,01T25,37,28,B1,A2,C3,A4,C5,A6,B1,D2,B3,C7
202502,01T25,95,72,A1,C2,A3,B4,B5,B6,B1,D2,B3,C9
202502,01T25,29,22,B1,B2,B3,C4,B5,A6,B1,A2,A3,C6
202502,01T25,186,141,C1,A2,C3,A4,C5,B6,B1,C2,B3,C5
202502,01T25,57,43,A1,B2,C3,C4,C5,C6,C1,A2,C3,C7
202502,01T25,264,200,B1,A2,A3,A4,A5,C6,C1,A2,C3,C7
202502,01T25,326,247,B1,B2,C3,B4,A5,B6,D1,A2,D3,C3
202502,01T25,598,454,B1,C2,A3,C4,A5,A6,A1,B2,A3,C7
202502,01T25,116,88,B1,A2,B3,A4,B5,A6,C1,C2,B3,C6
202502,01T25,69,52,A1,A2,B3,C4,A5,C6,B1,D2,B3,C6
202502,01T25,144,109,A1,C2,B3,B4,A5,B6,B1,A2,B3,C4
202502,01T25,87,66,A1,C2,B3,A4,A5,B6,B1,D2,C3,C1
202502,01T25,954,725,B1,C2,C3,B4,B5,A6,B1,C2,A3,C4
202502,01T25,280,212,A1,C2,A3,C4,B5,A6,A1,C2,B3,C10
202502,01T25,92,69,B1,C2,A3,A4,A5,B6,A1,D2,A3,C7
202502,01T25,894,679,A1,C2,B3,A4,A5,B6,A1,D2,C3,C6
202502,01T25,537,408,C1,A2,A3,C4,B5,A6,C1,C2,D3,C4
202502,01T25,159,120,C1,B2,A3,C4,A5,B6,A1,D2,A3,C6
202502,01T25,178,135,C1,C2,A3,A4,C5,C6,C1,B2,A3,C3
202502,01T25,294,223,A1,A2,B3,C4,C5,A6,D1,C2,B3,C4
202502,01T25,459,348,C1,A2,C3,C4,A5,A6,A1,A2,C3,C9
202502,01T25,521,395,C1,C2,C3,A4,A5,A6,B1,A2,D3,C2
202502,01T25,130,98,B1,B2,C3,A4,A5,B6,B1,C2,A3,C2
202502,01T25,201,152,B1,A2,A3,A4,A5,A6,D1,A2,C3,C10
202502,01T25,24,18,B1,C2,B3,B4,B5,A6,B1,C2,D3,C4
202502,01T25,700,532,C1,B2,A3,C4,B5,B6,B1,B2,B3,C7
202502,01T25,160,121,A1,A2,A3,C4,C5,B6,C1,A2,B3,C2
202502,01T25,54,41,B1,C2,C3,B4,B5,C6,D1,A2,D3,C4
202502,01T25,65,49,A1,A2,B3,C4,C5,C6,C1,B2,C3,C8
202502,01T25,320,243,A1,B2,A3,A4,C5,A6,B1,A2,B3,C4
202502,01T25,420,319,C1,B2,C3,C4,B5,C6,C1,C2,C3,C8
202502,01T25,117,88,B1,B2,C3,A4,B5,B6,B1,D2,C3,C2
202502,01T25,1268,963,C1,A2,C3,B4,A5,C6,B1,D2,D3,C3
202502,01T25,20,15,C1,B2,A3,B4,B5,B6,D1,B2,D3,C2
202502,01T25,31,23,B1,B2,A3,B4,B5,A6,A1,C2,B3,C7
202502,01T25,24,18,A1,B2,B3,A4,B5,A6,B1,D2,C3,C2
202502,01T25,1261,958,A1,A2,C3,A4,A5,C6,A1,D2,A3,C2
202502,01T25,46,34,A1,A2,A3,C4,B5,B6,C1,D2,A3,C6
202502,01T25,344,261,B1,B2,B3,A4,C5,A6,C1,B2,B3,C3
202502,01T25,51,38,A1,B2,A3,B4,B5,A6,A1,D2,D3,C8
202502,01T25,43,32,B1,C2,C3,C4,B5,A6,A1,D2,C3,C10
202502,01T25,43,32,A1,C2,B3,B4,C5,B6,D1,C2,D3,C7
202502,01T25,210,159,C1,B2,C3,C4,C5,C6,B1,B2,C3,C10
202502,01T25,282,214,A1,C2,A3,A4,C5,C6,A1,A2,C3,C7
202502,01T25,373,283,C1,C2,B3,C4,C5,A6,D1,D2,D3,C8
202502,01T25,54,41,C1,B2,C3,A4,C5,C6,B1,D2,D3,C6
202502,01T25,776,589,C1,C2,C3,B4,C5,B6,D1,A2,A3,C7
202502,01T25,51,38,C1,A2,B3,A4,A5,A6,A1,B2,C3,C3
202502,01T25,51,38,B1,A2,C3,A4,B5,B6,B1,A2,C3,C4
202502,01T25,275,209,B1,C2,A3,A4,A5,A6,B1,C2,D3,C5
202502,01T25,643,488,A1,C2,B3,B4,C5,C6,A1,A2,B3,C4
202502,01T25,62,47,B1,A2,C3,C4,C5,C6,C1,D2,A3,C8
202502,01T25,480,364,B1,B2,C3,A4,B5,A6,C1,B2,C3,C4
202502,01T25,88,66,C1,B2,A3,A4,B5,B6,C1,B2,C3,C9
202502,01T25,592,449,C1,A2,C3,C4,C5,A6,B1,D2,B3,C5
202502,01T25,310,235,B1,A2,C3,B4,B5,B6,D1,D2,C3,C4
202502,01T25,849,645,A1,A2,C3,B4,B5,B6,B1,C2,C3,C5
202502,01T25,20,15,A1,B2,C3,A4,A5,C6,C1,B2,D3,C4
202502,01T25,233,177,C1,B2,B3,A4,A5,C6,C1,D2,D3,C5
202502,01T25,69,52,C1,B2,B3,C4,B5,C6,C1,D2,B3,C4
202502,01T25,225,171,C1,C2,C3,B4,A5,A6,C1,B2,C3,C1
202502,01T25,134,101,A1,A2,B3,A4,A5,A6,D1,B2,D3,C2
202502,01T25,42,31,B1,B2,A3,B4,B5,B6,B1,D2,D3,C7
202502,01T25,118,89,C1,B2,B3,C4,C5,A6,D1,B2,C3,C5
202502,01T25,5,3,C1,A2,A3,A4,B5,B6,D1,B2,D3,C9
202502,01T25,794,603,B1,B2,A3,B4,A5,C6,B1,B2,B3,C3
202502,01T25,245,186,C1,B2,B3,B4,A5,B6,C1,C2,A3,C6
202502,01T25,608,462,A1,A2,C3,B4,C5,B6,D1,A2,C3,C9
202502,01T25,52,39,B1,B2,C3,C4,B5,B6,B1,C2,B3,C5
202502,01T25,405,307,C1,B2,B3,A4,C5,A6,B1,C2,A3,C1
202502,01T25,3,2,C1,B2,B3,B4,A5,C6,B1,B2,B3,C8
202502,01T25,396,300,B1,A2,A3,A4,A5,C6,A1,C2,C3,C8
202502,01T25,692,525,B1,C2,B3,C4,C5,A6,D1,C2,A3,C3
202502,01T25,481,365,B1,B2,C3,B4,A5,B6,B1,A2,D3,C3
202502,01T25,97,73,A1,B2,C3,B4,A5,A6,D1,D2,A3,C5
202502,01T25,43,32,B1,C2,A3,B4,B5,C6,A1,D2,A3,C7
202502,01T25,616,468,C1,A2,C3,A4,B5,B6,D1,B2,A3,C6
202502,01T25,28,21,C1,B2,A3,B4,B5,C6,A1,C2,A3,C1
202502,01T25,968,735,B1,A2,A3,C4,C5,C6,C1,B2,D3,C6
202502,01T25,83,63,A1,C2,C3,C4,B5,C6,C1,B2,C3,C5
202502,01T25,72,54,C1,B2,B3,B4,A5,A6,C1,D2,C3,C5
202502,01T25,333,253,A1,A2,B3,A4,C5,C6,A1,D2,C3,C5
202502,01T25,117,88,B1,C2,C3,C4,B5,C6,A1,B2,D3,C5
202502,01T25,374,284,C1,B2,B3,A4,B5,A6,B1,B2,C3,C8
202502,01T25,22,16,A1,A2,B3,B4,B5,B6,C1,C2,C3,C10
202502,01T25,322,244,A1,A2,B3,A4,A5,B6,C1,B2,B3,C2
202502,01T25,50,38,B1,B2,B3,A4,A5,A6,D1,D2,A3,C1
202502,01T25,281,213,A1,B2,B3,B4,B5,A6,C1,D2,A3,C9
202502,01T25,348,264,B1,A2,B3,A4,A5,C6,B1,B2,D3,C7
202502,01T25,157,119,A1,C2,A3,A4,B5,C6,D1,A2,C3,C10
202502,01T25,128,97,B1,B2,A3,B4,A5,B6,A1,C2,C3,C4
202502,01T25,654,497,A1,B2,C3,C4,B5,B6,A1,C2,A3,C2
202502,01T25,130,98,A1,B2,B3,B4,B5,A6,C1,C2,D3,C4
202502,01T25,228,173,A1,C2,B3,A4,A5,B6,C1,A2,D3,C6
202502,01T25,148,112,C1,A2,B3,A4,B5,B6,A1,A2,C3,C7
202502,01T25,100,76,B1,A2,A3,C4,A5,B6,C1,B2,A3,C2
202502,01T25,124,94,A1,C2,B3,B4,A5,C6,D1,B2,D3,C8
202502,01T25,305,231,C1,A2,B3,C4,B5,C6,B1,A2,A3,C10
202502,01T25,49,37,C1,B2,B3,C4,B5,C6,A1,C2,A3,C7
202502,01T25,279,212,A1,A2,B3,A4,B5,C6,C1,A2,D3,C1
